sample_id,profile_id,speed_rpm,torque_nm,voltage_v,current_a,ambient_temp_c,winding_resistance_ohm,temperature_c,output_power_w,loss_power_w,efficiency,torque_limit_nm
257,3,31100.0,0.05053,23.589,8.0918,22.216,0.189143,34.261,164.553,26.322,0.8621,0.08629
258,4,42262.0,0.05597,35.794,7.9154,28.503,0.196906,46.151,247.706,35.614,0.8743,0.07401
259,2,23702.7,0.03218,59.621,1.7475,30.495,0.195668,40.538,79.887,24.3,0.76676,0.09443
260,6,54826.7,0.02919,59.249,3.7305,26.084,0.19962,49.958,167.583,53.446,0.75819,0.06019
261,3,27046.7,0.05753,36.702,5.4453,29.274,0.194206,42.002,162.935,36.918,0.81527,0.09075
262,6,62398.8,0.02512,48.135,4.9962,24.936,0.210555,64.047,164.167,76.327,0.68262,0.05186
263,4,47774.4,0.04443,35.53,7.534,32.831,0.203858,52.109,222.294,45.39,0.83043,0.06795
264,2,17973.1,0.03363,24.051,4.2259,33.543,0.199977,45.583,63.291,38.348,0.6227,0.10073
265,5,53128.7,0.03697,59.678,4.3018,22.489,0.201971,51.533,205.714,51.007,0.80131,0.06206
266,4,45577.5,0.06696,60.157,6.5444,20.866,0.201286,51.853,319.595,74.094,0.8118,0.07036
267,1,5562.0,0.03671,36.776,0.9565,24.866,0.187678,31.574,21.384,13.794,0.60789,0.11438
268,1,16990.3,0.01018,48.129,0.9546,22.059,0.187416,30.857,18.114,27.828,0.39429,0.10181
269,2,17337.2,0.02884,35.062,1.8559,34.576,0.196816,44.915,52.359,12.71,0.80467,0.10143
270,3,34279.8,0.05378,59.729,3.7236,23.058,0.189085,34.109,193.072,29.338,0.86809,0.08279
271,5,59281.4,0.02904,23.997,10.8134,33.427,0.222109,75.429,180.307,79.182,0.69485,0.05529
272,3,22331.7,0.0477,36.089,3.7852,25.261,0.191694,38.955,111.543,25.06,0.81655,0.09594
273,4,48931.1,0.05818,47.753,7.9978,33.343,0.214692,72.356,298.133,83.784,0.78062,0.06668
274,2,16710.4,0.05333,59.569,2.356,32.89,0.195262,45.123,93.316,47.027,0.66492,0.10212
275,2,10488.9,0.02799,36.307,1.8622,32.149,0.195095,41.936,30.744,36.865,0.45474,0.10896
276,3,32674.3,0.04803,47.849,4.2223,26.933,0.191082,37.046,164.357,37.679,0.81351,0.08456
277,3,25806.7,0.05712,48.447,3.5995,25.372,0.18962,36.202,154.365,20.022,0.88519,0.09211
278,5,47182.8,0.03125,60.009,3.2031,30.581,0.200381,49.727,154.41,37.804,0.80332,0.0686
279,1,11706.1,0.01076,35.93,0.6911,24.902,0.187788,32.838,13.193,11.64,0.53128,0.10762
280,1,11485.6,0.0508,48.321,2.0626,24.566,0.192738,37.238,61.097,38.568,0.61302,0.10787
281,6,65000.0,0.02638,59.88,5.2523,22.005,0.223723,81.477,179.579,134.926,0.57099,0.049
282,6,65000.0,0.01955,23.811,9.3928,26.532,0.216511,71.16,133.079,90.577,0.59502,0.049
283,3,44806.5,0.0571,35.776,8.5097,30.879,0.200059,48.577,267.919,36.52,0.88004,0.07121
284,1,10728.5,0.01087,36.523,0.5134,29.88,0.189776,32.825,12.212,6.54,0.65123,0.1087
285,5,44715.2,0.01881,47.679,2.2184,32.881,0.200639,49.916,88.059,17.715,0.83252,0.07131
286,5,56371.7,0.03603,48.149,6.0227,32.043,0.211054,64.527,212.709,77.277,0.73351,0.05849
287,6,62457.2,0.03222,47.608,6.9298,27.54,0.223161,78.994,210.715,119.2,0.63869,0.0518
288,5,41545.2,0.03726,47.93,3.9283,33.466,0.198661,44.794,162.124,26.161,0.86106,0.0748
289,4,37357.5,0.06643,60.251,5.19,33.606,0.20228,50.261,259.896,52.807,0.83113,0.07941
290,3,23777.0,0.06421,47.662,3.9495,20.245,0.19204,33.925,159.87,28.373,0.84928,0.09435
291,6,65000.0,0.01774,47.287,4.2144,26.167,0.209159,60.779,120.778,78.508,0.60605,0.049
292,2,7141.7,0.05408,23.707,3.0266,22.557,0.190517,35.576,40.444,31.306,0.56368,0.11264
293,2,17086.6,0.05502,60.463,2.4486,26.934,0.19299,40.739,98.447,49.601,0.66497,0.1017
294,2,16174.8,0.04663,48.661,2.2287,27.155,0.192585,38.651,78.98,29.47,0.72826,0.10271
295,2,7385.2,0.05252,60.317,1.0471,23.465,0.188864,34.827,40.615,22.542,0.64308,0.11238
296,3,26869.0,0.05179,36.171,4.7418,28.553,0.195644,43.33,145.709,25.809,0.84952,0.09094
297,2,26247.0,0.05155,24.092,6.958,25.074,0.19255,37.291,141.685,25.948,0.84521,0.09163
298,6,56822.2,0.0299,59.458,4.1129,32.348,0.210322,64.31,177.899,66.647,0.72747,0.058
299,4,40384.8,0.05383,48.107,5.3239,31.621,0.193661,40.217,227.651,28.466,0.88885,0.07608
300,2,12242.1,0.06079,48.233,2.3999,20.353,0.189939,34.336,77.93,37.822,0.67325,0.10703
