scenario_id,total_load_mw,total_reactive_load_mvar,total_line_loss_mw,ac_line_1_p_mw,ac_line_2_p_mw,ac_line_3_p_mw,ac_line_4_p_mw,ac_line_5_p_mw,ac_line_6_p_mw,ac_line_7_p_mw,dc_line_1_p_mw,dc_line_2_p_mw,dc_line_3_p_mw,dc_line_4_p_mw,dc_line_5_p_mw,dc_line_6_p_mw,dc_line_7_p_mw,line_1_abs_error_mw,line_2_abs_error_mw,line_3_abs_error_mw,line_4_abs_error_mw,line_5_abs_error_mw,line_6_abs_error_mw,line_7_abs_error_mw,mean_abs_line_error_mw,max_abs_line_error_mw,mean_relative_line_error_percent,critical_line,weak_bus
96,145.2484,52.8175,2.99821,118.37661,64.44855,52.29043,4.82475,50.15282,12.34866,12.694,115.3784,64.15783,51.22057,5.02427,49.45917,12.19214,12.79776,2.99821,0.29072,1.06985,0.19952,0.69365,0.15651,0.10376,0.78746,2.99821,1.805,1,5
97,98.1287,35.8077,0.82383,57.84903,36.03555,21.42191,2.53922,36.23667,9.25943,8.6819,57.0252,35.91257,21.11263,2.58315,35.99553,9.21499,8.70131,0.82383,0.12299,0.30928,0.04393,0.24114,0.04445,0.01942,0.22929,0.82383,0.901,1,5
98,92.5176,29.8203,1.10412,71.45472,40.2656,30.58926,2.2804,32.12712,9.95501,8.96895,70.3506,40.13238,30.21822,2.34503,31.88012,9.89545,9.00075,1.10412,0.13322,0.37104,0.06463,0.247,0.05956,0.0318,0.28734,1.10412,1.092,1,5
99,110.9409,38.5047,1.37359,76.49109,45.29751,30.50052,2.75078,41.07862,12.89032,11.4446,75.1175,45.1323,29.9852,2.83542,40.704,12.80271,11.48629,1.37359,0.16521,0.51533,0.08464,0.37462,0.08761,0.04169,0.37753,1.37359,1.269,1,5
100,140.1243,49.9536,2.4239,106.5501,60.3207,44.92903,3.52591,49.62584,11.46748,11.03822,104.1262,59.99405,44.13215,3.66458,49.07475,11.35613,11.10807,2.4239,0.32664,0.79689,0.13867,0.55109,0.11135,0.06985,0.6312,2.4239,1.605,1,5
101,106.6532,38.1635,1.15351,68.79691,42.36724,25.85708,0.44697,38.41956,11.03675,8.27371,67.6434,42.23619,25.40721,0.52701,38.08721,10.96482,8.31628,1.15351,0.13105,0.44987,0.08004,0.33235,0.07192,0.04257,0.32305,1.15351,1.966,1,5
102,115.5435,38.9027,1.57813,84.32483,49.06439,34.43015,1.65161,40.98618,11.33805,9.44929,82.7467,48.8739,33.8728,1.7526,40.5938,11.2503,9.5023,1.57813,0.19049,0.55735,0.101,0.39238,0.08775,0.05301,0.42287,1.57813,1.755,1,5
103,72.1713,26.4312,0.32468,29.01798,25.07772,3.83837,-2.74694,31.29999,9.05516,4.31063,28.6933,25.00324,3.69006,-2.73648,31.16436,9.03528,4.31622,0.32468,0.07447,0.14832,0.01046,0.13564,0.01988,0.00559,0.10272,0.32468,0.92,5,5
104,74.0515,26.0894,0.34949,33.44759,26.2579,7.06061,-1.44229,31.1878,8.16283,4.71983,33.0981,26.14807,6.95003,-1.44473,31.08303,8.1547,4.7156,0.34949,0.10983,0.11057,0.00244,0.10477,0.00813,0.00423,0.09849,0.34949,0.532,1,5
105,148.0256,51.5481,3.03292,122.24122,65.30773,55.22154,5.94782,49.07524,11.56942,13.05386,119.2083,64.86999,54.33831,6.08452,48.52981,11.45592,13.11588,3.03292,0.43773,0.88323,0.13669,0.54543,0.1135,0.06202,0.7445,3.03292,1.374,1,5
106,84.0472,28.6705,0.77611,59.97841,35.48272,24.07212,0.05113,28.39901,8.20832,5.94529,59.2023,35.31065,23.89165,0.06681,28.27885,8.18887,5.94943,0.77611,0.17207,0.18047,0.01568,0.12016,0.01945,0.00415,0.18401,0.77611,0.69,1,5
107,118.3587,42.5337,1.59101,86.71801,49.18752,36.66792,2.27571,39.12173,12.5251,10.81848,85.127,48.91234,36.21466,2.33863,38.81496,12.45919,10.84151,1.59101,0.27518,0.45326,0.06291,0.30677,0.06592,0.02303,0.39687,1.59101,1.131,1,5
108,87.7024,29.6737,0.88068,64.33128,37.40159,26.45529,1.16263,30.54551,7.57306,6.37005,63.4506,37.265,26.1856,1.20729,30.3576,7.53609,6.39181,0.88068,0.13658,0.26969,0.04466,0.18792,0.03697,0.02177,0.22547,0.88068,1.149,1,5
109,136.5381,49.1501,2.20586,101.32076,57.74165,42.38925,2.41654,46.32022,15.16724,12.82769,99.1149,57.33285,41.78205,2.4934,45.90555,15.08005,12.85235,2.20586,0.4088,0.6072,0.07685,0.41466,0.0872,0.02466,0.54646,2.20586,1.309,1,5
110,125.4996,44.858,1.79554,90.38474,53.64588,35.78312,1.16912,45.43498,10.82043,8.71229,88.5892,53.27441,35.31479,1.22138,45.10199,10.77087,8.73213,1.79554,0.37147,0.46833,0.05226,0.33299,0.04956,0.01984,0.44143,1.79554,1.411,1,5
111,79.5266,28.0391,0.59472,47.31912,30.08017,16.95737,1.52198,30.48978,7.69416,6.74136,46.7244,30.01483,16.70957,1.56238,30.30147,7.65645,6.76255,0.59472,0.06534,0.2478,0.0404,0.1883,0.03771,0.02119,0.17078,0.59472,1.002,1,5
112,96.0402,31.6309,1.15074,74.56474,41.3879,32.52979,2.99518,32.32557,8.29574,8.3623,73.414,41.16611,32.24789,3.02347,32.15409,8.26606,8.37034,1.15074,0.2218,0.2819,0.02829,0.17148,0.02968,0.00804,0.27027,1.15074,0.696,1,5
113,134.1593,46.4803,2.18493,102.64873,56.59963,44.84305,3.88602,44.05372,12.14779,11.8231,100.4638,56.27363,44.19017,3.98911,43.62567,12.05448,11.87052,2.18493,0.326,0.65288,0.10309,0.42805,0.09331,0.04742,0.54795,2.18493,1.279,1,5
114,123.7874,42.5252,2.07969,98.46839,52.98596,44.33965,5.55022,41.71128,10.28091,11.80029,96.3887,52.78809,43.60061,5.68208,41.24071,10.17089,11.86871,2.07969,0.19787,0.73904,0.13186,0.47057,0.11002,0.06842,0.54249,2.07969,1.329,1,5
115,117.7391,41.2957,1.79277,89.99317,51.29191,37.75157,2.37724,41.8952,12.22556,10.66162,88.2004,51.0952,37.1052,2.49485,41.4506,12.12135,10.72325,1.79277,0.19671,0.64637,0.11761,0.4446,0.10421,0.06163,0.48056,1.79277,1.647,1,5
116,78.6851,26.913,0.62687,49.93027,30.65598,18.95433,0.18411,27.2005,7.92539,5.83688,49.3034,30.59529,18.70811,0.22968,27.02571,7.88579,5.86151,0.62687,0.06069,0.24622,0.04557,0.17479,0.0396,0.02463,0.17405,0.62687,1.268,1,5
117,84.3411,28.1517,0.66659,52.44469,33.85424,18.27014,-0.23846,32.29995,9.5051,6.63863,51.7781,33.74069,18.03741,-0.2041,32.11531,9.46941,6.65469,0.66659,0.11356,0.23273,0.03436,0.18464,0.03569,0.01606,0.18337,0.66659,1.072,1,5
118,128.4953,45.9676,2.04803,98.63183,55.31623,42.20281,3.52402,44.54676,10.97684,10.69524,96.5838,55.01301,41.57079,3.6259,44.11939,10.89139,10.74251,2.04803,0.30322,0.63202,0.10188,0.42737,0.08545,0.04727,0.52075,2.04803,1.313,1,5
119,133.7972,48.581,2.67762,115.45872,60.16634,53.75324,6.33063,42.96614,10.16339,12.35776,112.7811,59.76899,53.01211,6.43838,42.53511,10.07389,12.40391,2.67762,0.39736,0.74113,0.10775,0.43103,0.0895,0.04615,0.6415,2.67762,1.188,1,5
120,130.533,45.2135,1.93982,96.58402,53.97891,41.53179,3.12975,42.36834,11.06313,10.449,94.6442,53.64553,40.99867,3.2034,42.02077,10.99528,10.47932,1.93982,0.33339,0.53312,0.07365,0.34756,0.06785,0.03033,0.4751,1.93982,1.141,1,5
