sample_id,profile_id,voltage_kv,frequency_hz,phase_mean_deg,phase_std_deg,pulse_count,mean_charge_pc,max_charge_pc,charge_iqr_pc,repetition_rate_hz,positive_negative_ratio,waveform_rise_ns,waveform_width_ns,prpd_entropy,defect_class
232,3,13.057,50.0,91.466,18.272,16,40.625,68.709,7.942,6.867,1.6835,31.891,123.805,0.49422,corona
233,3,10.125,60.0,101.194,65.02,32,54.402,134.159,22.848,21.635,0.996,32.154,180.955,0.80232,surface
234,5,15.169,50.0,133.627,55.747,26,33.295,50.99,16.345,13.722,1.0315,46.984,125.626,0.54373,surface
235,5,14.581,60.0,242.068,33.316,33,22.4,53.508,10.324,18.743,0.6805,45.848,209.951,0.81424,internal
236,2,14.641,50.0,245.414,29.784,21,51.586,67.923,11.881,12.859,0.8493,46.164,194.805,0.81493,internal
237,2,11.211,50.0,50.618,37.372,40,95.918,127.725,26.269,21.072,0.8891,47.609,174.643,0.82368,internal
238,2,20.176,50.0,120.113,57.141,28,97.243,162.576,50.941,13.939,1.202,44.647,151.382,0.49912,surface
239,8,6.946,50.0,40.906,27.082,34,19.355,30.178,5.846,17.951,1.0087,62.994,222.831,0.77152,internal
240,5,12.049,50.0,221.068,31.098,46,101.993,260.502,26.653,22.733,1.3023,38.297,162.743,0.76246,internal
241,7,18.175,50.0,160.581,56.859,39,63.078,158.309,31.13,21.603,0.9355,34.148,164.162,0.57823,surface
242,2,21.505,50.0,143.114,54.136,15,128.829,328.424,37.091,6.43,1.295,44.724,186.77,0.51935,surface
243,7,9.466,50.0,178.721,109.907,10,7.92,19.893,2.262,5.52,1.1209,18.262,98.727,0.18309,no_pd
244,6,7.414,50.0,247.961,34.408,49,183.383,281.028,76.017,24.135,1.0952,49.009,215.685,0.74799,internal
245,1,23.582,50.0,191.887,82.014,10,5.469,9.258,2.09,4.449,0.7628,19.891,119.101,0.24372,no_pd
246,7,16.365,60.0,157.0,85.812,7,0.5,1.264,0.261,5.394,1.3339,20.345,75.751,0.25555,no_pd
247,2,15.982,50.0,182.369,97.128,15,0.5,1.29,0.269,5.402,0.564,17.208,92.078,0.29786,no_pd
248,7,17.497,60.0,194.745,102.654,12,0.595,1.017,0.296,8.977,0.9589,28.801,81.389,0.31525,no_pd
249,7,6.662,60.0,78.148,56.657,12,16.732,34.733,8.67,4.46,0.8056,20.365,85.359,0.2487,no_pd
250,6,12.946,50.0,141.584,64.724,5,9.03,19.262,3.246,1.5,0.8199,17.228,63.507,0.2426,no_pd
251,6,20.906,50.0,124.741,58.138,23,82.016,187.372,25.795,12.562,1.4924,34.4,150.335,0.63583,surface
252,4,7.311,50.0,55.993,31.787,48,89.072,147.372,42.025,23.582,0.818,52.635,197.644,0.69611,internal
253,5,15.63,50.0,49.555,32.322,50,121.309,167.956,22.519,25.343,1.0081,49.748,154.228,0.79466,internal
254,1,16.391,60.0,115.986,49.198,32,118.926,183.112,49.325,20.636,1.6797,35.858,155.922,0.58352,surface
255,1,16.085,50.0,164.514,57.174,46,122.04,181.567,43.91,24.892,1.29,43.326,135.963,0.61094,surface
256,5,13.988,50.0,119.761,91.749,11,17.327,38.296,4.521,3.356,1.2422,15.127,94.461,0.34307,no_pd
257,5,18.645,60.0,208.145,98.999,9,8.269,13.037,3.494,5.471,0.8547,21.822,91.756,0.17029,no_pd
258,8,9.018,50.0,168.813,61.274,35,170.142,333.632,75.796,18.121,1.2536,30.759,154.854,0.5796,surface
259,8,12.97,50.0,51.644,31.184,44,67.98,132.806,31.27,21.69,1.1922,51.986,172.786,0.77875,internal
260,3,17.023,50.0,231.502,97.682,3,17.136,32.144,5.479,2.091,0.6962,14.165,92.08,0.16038,no_pd
261,6,9.845,50.0,153.252,58.91,23,85.47,126.659,22.813,12.291,0.9913,36.247,154.337,0.67712,surface
262,8,12.777,50.0,52.13,20.447,42,111.639,231.496,51.544,20.319,0.8087,48.603,205.021,0.79981,internal
263,4,12.758,50.0,72.032,26.344,31,116.46,146.856,55.913,14.78,0.5338,51.719,179.802,0.66615,internal
264,1,19.008,50.0,159.679,87.253,36,126.959,294.799,56.074,19.266,1.2667,44.55,165.802,0.48088,surface
265,5,23.338,60.0,54.683,28.822,45,160.475,399.595,79.237,26.911,0.8878,50.457,201.221,0.78177,internal
266,4,9.322,50.0,157.165,86.964,7,6.061,12.619,2.345,4.467,1.169,30.583,90.824,0.26394,no_pd
267,8,23.996,50.0,50.733,36.47,52,184.568,332.64,100.111,25.901,0.4608,51.425,196.266,0.71354,internal
268,4,18.709,60.0,94.123,22.539,36,12.118,20.133,6.568,23.411,1.5329,27.132,121.848,0.45816,corona
269,8,9.499,60.0,180.235,93.118,10,12.792,27.022,3.55,3.58,1.5327,24.555,52.309,0.21419,no_pd
270,1,17.218,50.0,211.614,25.817,46,205.987,389.451,43.98,22.999,0.8677,58.22,191.519,0.73129,internal
271,3,8.936,60.0,241.662,42.969,21,10.149,18.59,4.016,11.538,0.8597,46.322,197.081,0.74926,internal
272,1,20.985,50.0,77.204,24.4,20,23.93,30.702,5.217,10.917,1.8478,30.187,116.985,0.50528,corona
273,6,8.673,60.0,172.427,77.737,12,13.835,25.233,4.014,7.113,1.3349,13.977,56.325,0.26406,no_pd
274,4,17.882,50.0,117.13,45.367,29,84.359,198.242,20.381,14.038,1.5015,27.799,163.212,0.54767,surface
275,4,16.325,50.0,130.536,58.781,42,65.1,99.036,33.568,20.667,1.0901,47.218,182.492,0.6222,surface
276,6,12.753,50.0,205.299,103.659,16,5.259,12.771,2.517,8.277,1.2273,16.141,52.313,0.33613,no_pd
277,4,14.737,50.0,160.843,96.857,8,0.827,1.629,0.317,3.643,1.3632,18.047,77.728,0.20443,no_pd
278,3,23.011,50.0,72.614,38.851,40,245.79,463.539,103.282,20.064,1.1772,53.363,198.093,0.74079,internal
279,5,17.747,50.0,169.784,45.966,32,130.388,292.8,53.626,14.476,1.5164,38.646,140.467,0.56851,surface
280,6,8.837,50.0,107.146,20.607,22,0.5,0.891,0.184,11.568,1.6051,27.69,129.263,0.46872,corona
281,6,17.323,50.0,67.671,26.038,55,160.048,291.861,50.654,28.823,0.8679,50.8,170.964,0.79738,internal
282,5,9.367,50.0,140.129,56.883,37,37.076,65.053,6.792,17.659,1.1565,43.46,175.699,0.57258,surface
283,1,20.518,50.0,125.85,57.029,29,82.572,159.003,19.909,14.953,1.5419,40.376,133.119,0.56259,surface
284,1,9.119,50.0,159.73,105.088,12,2.297,4.786,1.14,7.625,1.0432,30.753,103.169,0.30099,no_pd
285,5,19.858,50.0,107.478,21.226,24,71.838,135.023,13.056,12.444,1.5237,32.978,136.244,0.37063,corona
286,5,22.986,50.0,98.939,28.041,23,58.497,75.473,15.564,11.657,2.1588,35.804,96.886,0.32425,corona
287,7,8.751,60.0,133.398,59.845,38,76.868,159.4,27.507,21.271,1.1892,29.981,175.854,0.69953,surface
288,4,17.197,60.0,91.892,25.586,15,33.107,44.675,12.83,8.222,1.5602,38.045,89.46,0.48916,corona
289,1,9.862,50.0,154.964,105.558,13,5.039,9.573,0.911,4.983,1.5299,24.916,109.862,0.27513,no_pd
290,2,6.026,50.0,164.047,89.875,6,0.5,1.076,0.155,3.696,1.2619,21.52,102.626,0.22539,no_pd
291,2,21.767,60.0,181.039,73.138,15,17.304,26.529,5.139,10.017,0.8493,24.052,95.441,0.23657,no_pd
292,2,21.69,50.0,105.693,25.347,27,31.485,57.538,10.373,12.052,1.9681,25.552,97.023,0.50956,corona
293,5,15.827,50.0,140.165,47.887,32,227.223,571.783,105.24,15.77,1.636,34.425,135.327,0.53483,surface
294,3,13.337,50.0,136.252,53.321,29,98.694,168.554,46.584,14.741,1.2383,31.033,107.851,0.48817,surface
295,3,13.435,60.0,98.074,29.944,18,36.594,83.659,13.177,9.177,1.4433,40.186,96.038,0.50291,corona
296,3,22.972,50.0,93.307,30.037,21,36.546,94.168,16.7,8.61,1.6482,39.657,96.759,0.48983,corona
297,7,22.005,60.0,236.106,44.283,47,67.495,155.365,31.78,27.148,1.0121,44.695,242.541,0.86205,internal
298,2,17.076,50.0,247.645,31.324,36,34.181,48.173,7.301,18.977,1.4238,43.966,179.163,0.84666,internal
299,6,22.712,50.0,135.995,64.063,27,65.828,115.937,32.155,11.862,1.2146,50.212,154.378,0.64129,surface
300,2,17.095,50.0,150.062,58.531,36,52.057,120.976,23.938,18.549,1.1771,46.551,157.978,0.58425,surface
301,7,22.908,50.0,89.934,23.025,29,23.618,40.677,11.456,15.091,1.7636,31.982,125.575,0.40973,corona
302,8,14.713,50.0,89.293,29.908,17,0.5,0.716,0.24,8.844,1.8654,37.106,136.738,0.4133,corona
303,5,14.524,50.0,163.202,58.137,14,11.054,27.776,5.83,5.566,0.9795,14.658,51.949,0.22459,no_pd
304,6,16.629,50.0,132.046,71.058,24,83.761,193.184,31.42,12.912,1.0005,38.758,183.69,0.59685,surface
305,2,12.085,50.0,122.58,58.984,33,56.761,95.432,15.084,17.387,1.5242,30.291,165.622,0.48352,surface
306,3,16.749,50.0,151.836,50.134,30,136.372,297.59,37.265,14.418,0.8724,39.765,171.749,0.55694,surface
307,6,13.351,50.0,90.788,30.021,18,56.53,92.223,15.735,8.9,2.0525,32.341,152.399,0.39044,corona
308,3,16.295,60.0,83.6,23.787,13,34.803,82.813,13.188,8.564,1.6589,38.193,84.271,0.36328,corona
309,6,22.207,50.0,233.523,27.48,34,109.166,170.603,37.791,16.846,1.261,59.71,200.886,0.74656,internal
310,1,15.882,50.0,84.59,25.611,22,0.5,0.905,0.252,10.995,1.5792,29.055,139.192,0.38373,corona
311,6,8.948,60.0,89.229,18.924,20,60.472,140.143,31.589,11.62,2.0345,31.003,141.751,0.40509,corona
312,3,19.44,50.0,107.303,27.667,16,23.51,36.104,9.76,8.076,1.9808,26.503,114.777,0.33202,corona
313,1,7.056,50.0,89.488,23.114,21,4.479,7.575,2.225,10.228,1.642,42.603,93.054,0.35008,corona
314,5,20.326,50.0,123.939,45.961,41,69.763,137.456,26.063,21.475,1.2336,33.371,220.79,0.55133,surface
315,8,8.829,60.0,82.527,34.267,21,37.817,51.926,14.273,12.843,1.5077,32.815,120.319,0.53369,corona
316,4,18.313,50.0,95.352,28.063,18,53.704,76.097,29.429,9.366,1.6776,33.478,153.779,0.30483,corona
317,8,15.733,60.0,221.387,32.781,39,134.551,305.011,34.351,23.032,1.2226,35.247,179.575,0.74213,internal
318,8,8.781,50.0,38.727,30.787,47,247.671,556.224,121.467,22.086,0.8668,54.02,190.329,0.82176,internal
319,4,22.147,50.0,200.204,114.863,12,0.5,0.747,0.125,5.393,1.1842,20.722,105.404,0.31662,no_pd
320,3,6.861,50.0,136.531,69.006,27,69.25,170.088,14.066,12.113,1.0815,41.818,139.282,0.49212,surface
321,2,18.672,50.0,91.626,20.686,30,73.196,160.749,18.108,14.029,1.5384,36.641,131.176,0.43796,corona
322,3,10.963,50.0,161.138,90.64,13,8.017,18.395,3.821,5.8,1.2332,22.722,90.271,0.35165,no_pd
323,3,17.929,50.0,171.944,57.032,27,145.646,332.254,51.32,12.113,1.1212,43.002,152.487,0.64389,surface
324,5,22.44,50.0,101.083,23.18,16,8.425,17.478,2.915,8.508,1.7428,31.352,143.397,0.38508,corona
325,8,19.818,50.0,99.89,17.619,21,37.667,84.282,8.367,12.379,1.6968,31.707,127.325,0.44705,corona
326,8,10.654,50.0,266.53,27.601,38,161.758,311.961,36.767,18.66,0.9276,45.757,181.484,0.72023,internal
327,1,8.696,50.0,82.668,24.735,22,79.298,184.508,15.697,8.843,1.5966,34.075,137.578,0.34521,corona
328,1,15.793,50.0,240.239,26.446,40,174.915,440.262,43.99,20.731,1.1572,47.378,174.967,0.75397,internal
329,5,7.367,50.0,196.801,50.714,28,92.344,174.736,34.99,14.142,1.6914,42.082,166.728,0.59596,surface
330,6,23.5,60.0,240.922,32.154,37,176.094,394.16,74.612,23.179,1.3802,42.766,210.292,0.69267,internal
331,1,10.319,60.0,126.123,49.609,35,75.518,130.41,25.839,18.598,1.1057,51.517,135.48,0.58633,surface
332,7,21.954,50.0,92.581,23.545,22,31.786,60.465,8.405,9.15,2.1759,28.787,137.11,0.50369,corona
333,3,9.113,50.0,171.842,56.917,39,83.45,130.014,32.172,18.616,1.266,49.207,146.178,0.5462,surface
334,1,9.838,50.0,90.749,28.863,20,44.842,95.121,21.059,10.101,1.6394,34.953,144.703,0.44309,corona
335,4,7.066,60.0,75.809,22.305,20,53.629,73.681,24.177,12.254,1.8904,41.131,152.751,0.44442,corona
336,1,16.551,60.0,86.124,26.699,54,96.931,125.323,37.869,31.991,0.9663,39.807,204.557,0.86583,internal
337,3,9.12,50.0,93.322,21.408,26,56.93,85.316,14.819,14.077,1.9819,30.139,116.569,0.43795,corona
338,8,18.612,50.0,198.78,115.0,10,18.515,26.943,7.301,5.311,1.2516,6.295,91.3,0.22372,no_pd
339,1,20.922,50.0,131.615,82.109,6,8.919,14.681,4.056,4.015,1.368,27.206,115.656,0.07983,no_pd
340,3,9.591,50.0,61.802,31.713,35,119.833,231.938,32.182,17.157,1.2505,50.519,197.737,0.82063,internal
341,8,14.197,50.0,130.542,61.302,31,48.102,80.005,11.974,16.105,1.1985,38.013,133.603,0.62659,surface
342,2,11.621,50.0,108.513,27.884,18,42.993,62.789,22.245,9.376,1.7446,26.593,91.833,0.44818,corona
343,3,15.551,50.0,94.443,22.365,24,0.5,0.978,0.226,10.485,1.9276,32.348,144.216,0.32712,corona
344,7,13.613,50.0,84.358,19.16,24,13.896,26.321,4.279,12.409,2.3628,27.998,96.743,0.46432,corona
345,8,23.399,50.0,53.937,29.182,44,39.535,53.558,14.55,21.041,1.0602,57.798,194.24,0.71936,internal
346,7,16.328,50.0,139.195,48.876,35,54.999,99.744,13.084,18.55,0.9021,42.114,185.989,0.54285,surface
347,1,9.744,50.0,75.202,29.697,43,157.32,298.942,63.909,19.72,1.3311,51.108,192.494,0.73864,internal
348,5,16.432,50.0,155.288,83.752,10,22.165,54.52,11.114,5.983,1.3111,33.669,122.849,0.20122,no_pd
349,1,20.864,50.0,100.407,22.046,18,111.513,157.573,37.484,9.402,1.355,40.798,131.657,0.46967,corona
350,2,15.649,50.0,156.422,91.33,8,5.269,11.244,1.136,3.446,1.1003,19.337,81.136,0.16178,no_pd
351,4,15.416,60.0,154.273,57.188,35,23.185,31.132,7.707,21.209,1.1999,34.96,169.112,0.68396,surface
352,5,23.149,50.0,262.092,29.949,38,273.894,546.604,58.153,18.727,0.9054,52.548,195.865,0.73595,internal
353,2,19.215,50.0,264.61,32.435,50,80.541,208.204,42.104,26.04,0.8915,50.53,195.614,0.73447,internal
354,1,14.432,50.0,143.794,48.583,21,134.423,241.909,49.932,12.127,1.2826,46.681,162.129,0.61425,surface
355,7,18.104,50.0,54.788,37.466,47,282.723,589.801,70.726,21.649,0.7255,40.248,180.724,0.8065,internal
356,8,14.654,50.0,74.798,31.396,49,158.914,271.177,67.327,26.14,0.6887,59.206,173.114,0.78535,internal
357,8,8.254,60.0,55.128,29.805,52,142.385,184.229,70.485,29.565,0.5861,55.574,197.883,0.77424,internal
358,5,21.317,50.0,161.147,42.956,22,111.978,261.859,55.388,12.482,1.4126,43.348,197.719,0.63839,surface
359,8,23.395,60.0,233.96,30.811,36,130.38,271.113,40.483,21.146,1.018,55.06,189.531,0.81354,internal
360,4,13.804,50.0,113.1,45.373,30,70.628,91.319,35.942,13.567,1.5343,41.296,167.741,0.6472,surface
361,7,6.824,50.0,175.806,104.696,12,4.081,8.037,1.703,7.534,1.2527,16.825,76.472,0.25911,no_pd
362,1,6.173,50.0,244.969,41.01,35,179.489,346.858,78.188,17.886,1.0256,56.264,169.264,0.79649,internal
363,2,20.52,60.0,180.896,94.042,10,11.079,18.543,3.775,5.133,1.0563,25.432,81.082,0.1801,no_pd
364,6,7.754,60.0,99.273,20.355,19,61.822,112.729,27.504,12.379,1.4648,36.42,127.745,0.39242,corona
365,8,18.423,50.0,163.474,54.163,40,66.87,145.76,12.788,19.227,1.2923,51.532,147.257,0.50121,surface
366,8,10.488,50.0,185.314,95.232,9,5.49,14.218,3.019,3.201,0.9633,22.238,100.031,0.279,no_pd
367,5,8.892,50.0,52.93,25.196,37,83.825,155.146,45.501,19.4,0.9373,50.994,202.477,0.69095,internal
368,7,16.674,50.0,77.488,25.795,11,40.988,91.955,11.322,4.065,2.0725,29.524,138.5,0.38227,corona
369,8,13.231,60.0,212.921,34.053,35,168.192,288.713,34.391,21.182,1.04,51.89,172.286,0.80293,internal
370,6,6.464,60.0,96.246,26.241,23,29.75,57.257,11.806,13.854,1.7565,41.111,109.073,0.43581,corona
371,7,11.439,50.0,95.955,24.399,18,74.006,114.368,32.178,7.122,2.0498,37.47,156.552,0.43406,corona
372,6,15.875,50.0,159.18,48.985,29,43.93,75.473,9.688,14.409,0.9022,40.758,169.423,0.61097,surface
373,7,10.12,50.0,213.503,99.346,11,3.665,7.934,1.492,6.275,0.9576,27.435,76.578,0.21863,no_pd
374,2,16.256,50.0,123.789,49.146,34,122.977,187.329,40.152,14.78,0.9057,39.446,179.28,0.60617,surface
375,3,12.609,50.0,142.709,60.303,22,94.266,234.903,51.793,10.555,1.2347,44.682,163.685,0.64419,surface
376,7,13.939,50.0,144.822,90.846,13,8.26,17.393,1.773,4.827,0.8453,15.016,88.942,0.15791,no_pd
377,2,18.289,50.0,173.454,39.701,31,65.987,143.246,23.846,13.696,1.7118,38.516,151.4,0.59418,surface
378,4,8.657,60.0,85.562,23.951,21,54.767,141.544,14.421,12.301,1.4514,28.704,115.169,0.40089,corona
379,5,7.999,50.0,86.316,23.568,19,35.878,91.182,8.088,6.649,1.6695,27.781,89.808,0.32088,corona
380,2,22.886,60.0,164.652,64.561,28,139.699,340.653,63.008,16.546,1.1,34.053,143.225,0.63299,surface
381,1,6.596,50.0,95.398,22.406,20,58.556,85.875,14.356,8.881,1.9945,38.264,123.535,0.4067,corona
382,2,18.823,60.0,94.057,19.781,13,38.217,67.854,20.644,7.755,1.9552,28.693,108.333,0.41434,corona
383,4,15.469,50.0,155.923,74.247,5,7.209,18.48,2.574,3.463,1.0797,23.878,80.203,0.28255,no_pd
384,5,15.949,50.0,90.248,24.486,25,84.512,172.455,17.366,12.445,2.0103,27.803,125.411,0.52184,corona
385,2,13.693,60.0,96.355,25.186,26,60.976,80.851,17.148,15.269,1.8482,29.515,108.624,0.38448,corona
386,5,23.681,50.0,230.991,31.383,40,132.39,292.105,52.998,20.372,0.5882,47.262,194.845,0.86674,internal
387,5,10.721,50.0,174.369,93.959,13,33.91,88.094,6.594,8.791,0.9162,22.266,77.305,0.28165,no_pd
388,6,10.85,50.0,159.513,56.085,6,14.927,38.301,7.686,4.002,0.6351,12.049,72.082,0.27145,no_pd
389,1,10.095,50.0,155.635,51.08,32,36.733,85.084,15.727,16.161,0.8694,41.732,197.195,0.69307,surface
390,5,6.381,60.0,97.502,30.278,22,69.32,106.412,23.964,12.341,1.7158,26.699,132.533,0.44529,corona
391,6,18.236,50.0,171.556,73.466,6,20.397,31.245,3.885,4.353,1.5083,20.551,122.954,0.25484,no_pd
392,6,17.113,60.0,160.362,55.833,40,136.199,284.878,42.099,22.69,1.2029,40.92,171.463,0.59292,surface
393,2,14.43,50.0,91.465,17.921,13,42.892,109.541,10.103,7.067,1.8981,34.693,129.497,0.36193,corona
394,5,18.823,50.0,87.67,22.843,22,24.969,58.049,8.231,10.52,1.6937,39.156,137.402,0.51446,corona
395,1,15.891,60.0,124.279,56.605,35,82.071,179.996,30.946,20.01,1.0892,34.656,147.651,0.62472,surface
396,6,15.425,50.0,66.195,33.191,35,8.121,11.561,4.407,16.854,1.0059,48.202,195.431,0.71407,internal
397,6,18.371,50.0,94.751,19.886,20,59.862,118.856,30.872,8.889,2.0492,27.268,121.426,0.43814,corona
398,8,19.005,50.0,143.134,65.231,36,23.626,38.252,8.842,18.557,1.2508,32.376,163.677,0.59943,surface
399,6,23.152,50.0,165.577,100.722,11,8.201,14.911,4.292,5.336,1.1874,12.733,75.822,0.25273,no_pd
400,4,18.914,50.0,104.047,20.703,21,26.204,62.274,10.623,9.52,1.7952,29.317,134.926,0.45678,corona
401,1,18.499,50.0,94.581,24.722,27,86.685,119.936,26.788,13.105,1.9368,34.549,145.439,0.37029,corona
402,2,11.839,60.0,143.371,52.616,29,80.936,164.973,15.889,15.012,1.5595,39.574,144.827,0.6008,surface
403,4,10.584,50.0,175.253,89.149,10,8.35,21.393,3.997,4.325,1.0555,17.158,93.413,0.12556,no_pd
404,7,22.245,60.0,98.047,22.408,19,4.491,8.947,1.621,11.161,1.6881,34.859,86.855,0.42438,corona
405,7,21.598,50.0,129.808,90.454,10,5.009,6.978,2.389,6.099,0.9956,28.302,93.697,0.22797,no_pd
406,2,19.658,60.0,65.022,35.022,35,118.816,288.079,50.674,20.478,1.0091,48.74,199.388,0.74606,internal
407,4,12.77,50.0,85.063,21.217,30,46.689,100.51,24.326,16.243,1.7555,38.309,165.961,0.53246,corona
408,5,6.961,50.0,237.672,23.772,44,269.552,381.077,96.932,24.236,0.8915,54.563,190.496,0.75603,internal
409,6,22.691,50.0,84.942,32.842,50,187.822,281.323,69.407,26.821,0.7797,38.597,170.46,0.62107,internal
410,3,18.24,50.0,186.994,102.306,14,8.983,15.165,4.014,5.492,1.0553,21.202,125.772,0.20725,no_pd
411,4,19.971,50.0,142.833,98.936,11,13.758,34.764,6.616,5.382,1.1745,25.435,70.352,0.33204,no_pd
412,3,16.487,60.0,160.406,80.918,9,9.755,21.909,3.543,7.408,0.9033,24.546,93.413,0.24582,no_pd
413,4,23.045,50.0,183.881,115.0,11,0.5,1.296,0.202,3.891,1.1128,15.182,117.367,0.29044,no_pd
414,2,16.572,60.0,112.941,59.67,28,66.119,134.707,21.947,14.979,1.1647,36.296,176.317,0.62226,surface
415,8,11.076,60.0,62.646,34.674,40,132.306,178.241,54.312,24.914,1.2479,59.1,211.6,0.84261,internal
416,2,16.367,60.0,196.998,80.61,14,4.247,9.13,1.462,8.894,0.8362,19.929,107.34,0.25934,no_pd
417,2,12.236,50.0,237.347,34.007,37,233.451,335.473,58.691,18.76,0.9511,50.298,162.687,0.72171,internal
418,6,6.573,50.0,90.09,24.077,14,44.769,74.755,16.668,7.936,2.0552,32.764,129.791,0.41637,corona
419,3,20.311,50.0,144.83,41.788,26,82.513,167.314,30.676,12.292,1.0466,45.01,164.53,0.56898,surface
420,7,7.891,50.0,93.312,19.961,14,50.987,90.91,18.94,5.546,2.201,33.837,133.411,0.40749,corona
421,5,15.721,50.0,174.283,53.349,35,105.067,212.949,39.177,18.1,1.7,39.854,147.074,0.54814,surface
422,2,23.686,60.0,130.321,94.301,14,14.555,33.872,7.3,6.925,1.276,5.525,121.157,0.25229,no_pd
423,7,14.056,60.0,121.265,58.49,21,171.189,253.002,33.383,12.043,0.8223,39.381,161.482,0.55777,surface
424,4,20.922,50.0,72.195,42.783,53,124.629,195.418,44.34,27.451,0.5783,44.562,203.274,0.69445,internal
425,8,18.241,50.0,133.949,47.884,34,103.952,145.945,37.741,17.952,0.9813,37.308,131.165,0.61162,surface
426,3,18.65,50.0,121.667,43.241,23,36.112,49.141,19.694,10.819,1.2335,44.14,173.31,0.50287,surface
427,1,11.928,50.0,118.956,61.75,29,107.663,169.245,42.887,13.21,1.1584,45.159,153.807,0.55264,surface
428,7,16.536,50.0,211.946,112.743,11,5.437,6.808,1.745,6.479,0.8636,31.676,73.253,0.14854,no_pd
429,5,21.947,50.0,168.245,77.687,7,10.589,18.529,5.288,4.125,1.5103,15.342,66.547,0.22295,no_pd
430,1,10.226,50.0,164.336,96.186,3,5.526,10.705,2.274,4.276,1.0024,21.451,82.304,0.35914,no_pd
431,2,9.512,50.0,88.02,21.23,16,82.451,120.775,33.669,6.657,2.0256,36.032,159.313,0.48536,corona
432,3,19.795,50.0,145.815,91.592,17,19.168,40.78,4.705,7.806,0.9032,18.715,95.733,0.12977,no_pd
433,3,19.507,50.0,255.049,82.795,1,27.309,56.167,7.665,0.0,0.9666,25.253,113.068,0.19478,no_pd
434,7,18.818,50.0,152.378,50.334,34,134.745,250.879,34.265,15.393,1.4824,34.483,184.928,0.5287,surface
435,3,14.638,50.0,71.709,20.587,26,39.989,58.873,8.648,12.441,1.7224,27.845,149.409,0.49681,corona
436,6,10.294,50.0,221.933,32.416,42,80.302,142.131,21.666,20.457,0.5718,44.982,174.247,0.73058,internal
437,3,9.339,60.0,61.706,34.108,31,96.639,171.667,21.613,17.329,1.3109,51.816,218.893,0.7227,internal
438,3,16.035,50.0,137.164,65.672,30,127.553,194.529,52.235,13.579,1.1733,46.919,171.103,0.62712,surface
439,6,23.432,60.0,91.21,22.973,30,39.438,85.793,16.654,20.482,1.8966,25.903,131.853,0.45435,corona
440,4,15.514,50.0,218.132,36.031,37,237.948,513.934,104.178,21.044,0.8731,43.119,172.669,0.68721,internal
441,1,14.326,50.0,225.465,25.871,36,75.55,166.839,15.035,16.372,0.8711,50.065,227.179,0.72501,internal
442,2,8.291,50.0,197.394,85.252,12,11.626,29.921,2.151,4.401,1.1325,22.417,116.62,0.34423,no_pd
443,1,11.705,50.0,236.673,30.706,59,79.93,137.332,23.757,30.249,1.4496,45.27,204.649,0.71199,internal
444,7,18.909,50.0,123.717,54.682,30,108.637,243.48,56.84,13.51,1.237,39.634,140.923,0.72299,surface
445,5,13.842,60.0,96.058,20.283,18,22.267,52.794,6.494,12.397,1.8593,35.274,139.713,0.352,corona
446,6,19.406,60.0,234.577,109.902,8,4.603,11.032,1.298,5.473,0.7339,17.872,63.112,0.15255,no_pd
447,2,8.883,50.0,166.726,77.337,13,9.395,18.463,4.347,4.994,0.9142,30.975,91.95,0.24096,no_pd
448,4,18.426,50.0,125.408,48.662,24,100.113,232.484,47.039,10.026,1.4703,34.862,200.869,0.57753,surface
449,5,16.32,60.0,87.064,26.643,31,44.401,84.784,16.547,18.694,1.7998,23.888,132.603,0.33101,corona
450,7,23.29,50.0,153.785,55.1,34,39.011,83.675,16.607,15.719,1.3439,32.175,178.946,0.60361,surface
451,6,21.366,60.0,238.262,28.226,54,122.428,289.459,35.552,32.26,0.7012,54.322,166.809,0.65047,internal
452,2,15.514,50.0,189.048,51.254,42,103.317,134.047,36.891,20.927,1.4615,35.821,181.033,0.67633,surface
453,3,23.406,50.0,154.48,59.909,29,64.004,82.519,33.031,14.416,1.1642,41.797,156.275,0.65592,surface
454,2,8.0,50.0,97.372,23.494,22,45.321,86.921,18.416,12.8,2.1664,14.854,107.046,0.19448,corona
455,6,22.205,50.0,81.245,23.472,19,17.896,30.243,6.466,8.372,1.5166,25.986,119.065,0.45063,corona
456,1,18.693,50.0,70.884,33.992,45,161.048,353.607,40.073,23.257,0.9215,38.036,188.516,0.79925,internal
457,5,8.576,60.0,97.992,20.504,12,76.519,177.054,35.254,8.072,1.5752,39.089,133.33,0.40745,corona
458,5,15.707,50.0,168.158,102.362,13,12.999,24.674,3.031,5.817,0.8966,20.865,105.977,0.23338,no_pd
459,6,11.592,50.0,122.601,88.789,7,9.589,22.647,2.486,3.18,0.9986,16.427,106.328,0.30875,no_pd
460,7,6.833,50.0,142.247,43.458,23,4.704,8.769,1.444,12.63,1.2585,45.564,158.664,0.67022,surface
461,4,8.609,50.0,192.34,95.866,7,10.825,15.731,3.477,3.197,1.6305,29.401,95.134,0.31178,no_pd
462,6,16.738,60.0,186.329,83.698,9,7.883,12.568,1.921,7.232,1.5584,26.442,81.626,0.27828,no_pd
463,4,9.814,50.0,138.268,61.597,8,0.5,1.099,0.262,3.601,1.0882,18.079,36.828,0.20058,no_pd
464,3,14.567,50.0,68.316,28.292,49,255.22,514.483,48.623,24.288,0.8132,49.588,195.975,0.83018,internal
