scenario_id,bus_0_vm_pu,bus_1_vm_pu,bus_2_vm_pu,bus_3_vm_pu,bus_4_vm_pu,bus_5_vm_pu,bus_0_va_degree,bus_1_va_degree,bus_2_va_degree,bus_3_va_degree,bus_4_va_degree,bus_5_va_degree,ac_line_1_p_mw,ac_line_2_p_mw,ac_line_3_p_mw,ac_line_4_p_mw,ac_line_5_p_mw,ac_line_6_p_mw,ac_line_7_p_mw,ac_line_1_loading_percent,ac_line_2_loading_percent,ac_line_3_loading_percent,ac_line_4_loading_percent,ac_line_5_loading_percent,ac_line_6_loading_percent,ac_line_7_loading_percent,voltage_violation,line_overload
102,1.02,1.01665,1.00635,1.0218,1.00971,1.00527,0.0,-2.2985,-3.8454,-3.2225,-3.9453,-4.2056,84.32483,49.06439,34.43015,1.65161,40.98618,11.33805,9.44929,97.487,56.821,46.265,8.581,54.011,15.377,11.042,0,0
103,1.02,1.01997,1.01403,1.02393,1.01625,1.01333,0.0,-0.8065,-1.5801,-0.9565,-1.5256,-1.7389,29.01798,25.07772,3.83837,-2.74694,31.29999,9.05516,4.31063,34.237,29.188,13.144,5.587,38.984,11.549,4.996,0,0
104,1.02,1.01475,1.00742,1.0151,1.00823,1.00605,0.0,-0.8608,-1.665,-1.0422,-1.6307,-1.8328,33.44759,26.2579,7.06061,-1.44229,31.1878,8.16283,4.71983,38.451,31.188,8.785,2.49,38.188,10.047,5.715,0,0
105,1.02,1.00507,0.98907,1.00515,0.99081,0.98601,0.0,-3.2218,-5.3079,-4.6268,-5.5284,-5.8017,122.24122,65.30773,55.22154,5.94782,49.07524,11.56942,13.05386,139.885,77.235,66.003,9.268,65.155,16.221,15.547,0,1
106,1.02,1.00856,0.99837,1.00581,0.99923,0.99672,0.0,-1.5223,-2.6217,-2.0936,-2.6355,-2.8382,59.97841,35.48272,24.07212,0.05113,28.39901,8.20832,5.94529,69.649,42.492,27.859,2.383,35.398,10.461,7.174,0,0
107,1.02,1.00855,0.99588,1.00819,0.99733,0.99303,0.0,-2.2696,-3.8169,-3.1916,-3.9115,-4.2158,86.71801,49.18752,36.66792,2.27571,39.12173,12.5251,10.81848,99.305,58.214,43.489,5.104,50.983,16.384,12.911,0,0
108,1.02,1.01434,1.00569,1.01573,1.00746,1.0047,0.0,-1.7158,-2.8883,-2.3958,-2.9504,-3.1277,64.33128,37.40159,26.45529,1.16263,30.54551,7.57306,6.37005,73.664,43.653,32.568,4.913,39.317,10.112,7.419,0,0
109,1.02,1.00378,0.9877,1.00205,0.98925,0.98411,0.0,-2.6223,-4.4449,-3.6807,-4.5469,-4.9233,101.32076,57.74165,42.38925,2.41654,46.32022,15.16724,12.82769,116.657,69.198,49.817,5.415,60.543,19.844,15.48,0,1
110,1.02,1.00391,0.98846,1.00152,0.98979,0.98633,0.0,-2.3173,-4.0022,-3.1982,-4.0599,-4.3307,90.38474,53.64588,35.78312,1.16912,45.43498,10.82043,8.71229,104.573,64.53,41.753,3.998,58.271,13.985,10.437,0,1
111,1.02,1.02172,1.01616,1.02717,1.01829,1.01523,0.0,-1.3362,-2.2821,-1.8278,-2.3593,-2.5319,47.31912,30.08017,16.95737,1.52198,30.48978,7.69416,6.74136,56.872,34.495,27.946,5.878,39.889,10.511,7.79,0,0
112,1.02,1.00727,0.99615,1.00434,0.99653,0.99388,0.0,-1.9146,-3.212,-2.6997,-3.3146,-3.5191,74.56474,41.3879,32.52979,2.99518,32.32557,8.29574,8.3623,86.047,49.243,37.696,4.141,40.704,10.702,10.026,0,0
113,1.02,1.00792,0.9938,1.00853,0.99603,0.99158,0.0,-2.7069,-4.4979,-3.849,-4.6563,-4.9483,102.64873,56.59963,44.84305,3.88602,44.05372,12.14779,11.8231,117.408,66.847,53.875,7.968,57.797,16.228,13.915,0,1
114,1.02,1.01765,1.00753,1.02396,1.01048,1.00573,0.0,-2.7011,-4.3817,-3.8825,-4.5989,-4.8243,98.46839,52.98596,44.33965,5.55022,41.71128,10.28091,11.80029,114.373,61.062,58.959,10.722,56.83,14.971,13.684,0,1
115,1.02,1.0171,1.00641,1.02307,1.00995,1.00498,0.0,-2.4605,-4.0778,-3.4765,-4.2031,-4.4813,89.99317,51.29191,37.75157,2.37724,41.8952,12.22556,10.66162,104.263,59.353,51.149,9.376,56.401,16.797,12.408,0,1
116,1.02,1.02263,1.01777,1.02842,1.02034,1.01735,0.0,-1.4197,-2.3926,-1.964,-2.4344,-2.6135,49.93027,30.65598,18.95433,0.18411,27.2005,7.92539,5.83688,60.627,35.004,30.59,6.216,35.816,10.608,6.863,0,0
117,1.02,1.01749,1.0102,1.02049,1.01216,1.0091,0.0,-1.4247,-2.4856,-1.9196,-2.5058,-2.7319,52.44469,33.85424,18.27014,-0.23846,32.29995,9.5051,6.63863,60.571,39.227,25.085,4.742,40.866,12.133,7.691,0,0
118,1.02,1.00957,0.99602,1.01112,0.99805,0.99378,0.0,-2.6137,-4.3609,-3.6981,-4.5041,-4.7632,98.63183,55.31623,42.20281,3.52402,44.54676,10.97684,10.69524,112.786,65.131,51.425,7.273,58.987,14.968,12.606,0,1
119,1.02,1.0027,0.98651,1.00051,0.98752,0.98342,0.0,-3.006,-4.9177,-4.3511,-5.1415,-5.3849,115.45872,60.16634,53.75324,6.33063,42.96614,10.16339,12.35776,132.663,71.907,63.206,8.767,57.888,14.159,14.812,0,1
120,1.02,1.00625,0.99227,1.00506,0.99368,0.98958,0.0,-2.5183,-4.2252,-3.5568,-4.3477,-4.6142,96.58402,53.97891,41.53179,3.12975,42.36834,11.06313,10.449,110.782,64.055,48.918,5.816,54.79,14.878,12.496,0,1
