sample_id,defect_code,has_partial_discharge,risk_score,high_risk,phase_cluster_low_deg,phase_cluster_high_deg,noise_floor_pc
561,3,1,1.0,1,204.777,261.971,0.644
562,0,0,0.07912,0,72.176,246.496,0.634
563,2,1,0.84589,1,78.063,186.985,1.899
564,0,0,0.09238,0,83.791,269.287,1.281
565,3,1,1.0,1,23.571,92.61,1.36
566,3,1,0.99484,1,22.245,81.624,4.198
567,2,1,0.90758,1,87.361,196.415,0.807
568,1,1,0.42354,0,75.19,115.322,1.049
569,3,1,1.0,1,224.497,280.141,3.093
570,0,0,0.04822,0,110.162,280.488,0.966
571,2,1,0.50495,0,76.254,193.204,4.353
572,0,0,0.11567,0,94.726,266.951,1.104
573,3,1,1.0,1,208.03,292.391,3.332
574,0,0,0.1003,0,63.378,226.183,2.759
575,3,1,1.0,1,358.204,63.843,2.7
576,1,1,0.27367,0,73.475,112.166,0.676
577,3,1,1.0,1,26.007,101.131,2.257
578,1,1,0.34716,0,72.827,107.518,1.826
579,0,0,0.12685,0,94.07,287.422,2.388
580,2,1,0.69741,1,104.996,200.453,3.233
581,0,0,0.10702,0,93.454,287.649,1.161
582,3,1,1.0,1,191.751,244.116,1.02
583,0,0,0.05194,0,48.029,278.029,4.39
584,0,0,0.07985,0,78.376,304.957,3.468
585,3,1,1.0,1,207.771,274.662,1.182
586,2,1,0.93028,1,94.073,154.59,2.376
587,1,1,0.45463,0,62.258,101.724,4.381
588,2,1,0.84697,1,76.352,199.258,3.057
589,1,1,0.36618,0,68.336,124.638,4.238
590,0,0,0.04878,0,130.202,337.672,3.778
591,2,1,0.97668,1,90.915,197.078,2.229
592,3,1,0.93237,1,41.705,103.678,3.309
593,2,1,0.71571,1,58.839,201.562,1.848
594,0,0,0.12299,0,73.512,201.653,2.841
595,3,1,1.0,1,232.921,276.249,3.659
596,1,1,0.46621,0,69.358,121.134,1.817
597,3,1,1.0,1,220.499,268.171,2.292
598,1,1,0.39241,0,71.407,110.89,2.595
599,0,0,0.12854,0,51.074,202.64,1.202
600,3,1,1.0,1,206.569,272.162,3.021
601,2,1,0.7188,1,79.015,181.121,2.453
602,3,1,1.0,1,25.51,98.936,1.356
603,1,1,0.47353,0,63.779,116.232,3.855
604,3,1,1.0,1,211.778,275.005,1.524
605,0,0,0.08986,0,157.203,11.305,3.365
606,2,1,0.67096,1,72.375,201.457,2.156
607,3,1,0.92196,1,26.61,90.739,2.758
608,2,1,0.87278,1,60.602,178.141,2.088
609,0,0,0.04303,0,121.575,283.431,1.05
610,0,0,0.01175,0,85.919,281.247,0.792
611,2,1,0.83581,1,93.709,175.549,0.923
612,2,1,0.57666,0,56.864,154.013,3.226
613,2,1,0.98224,1,72.329,178.553,1.633
614,0,0,0.00458,0,77.585,278.719,2.781
615,3,1,1.0,1,17.454,79.545,3.792
616,0,0,0.14357,0,35.681,192.629,1.276
617,2,1,0.58943,0,81.798,177.102,3.708
618,2,1,0.67189,1,109.028,230.949,4.195
619,2,1,0.9691,1,104.305,210.312,3.186
620,1,1,0.43766,0,70.919,113.01,1.945
621,3,1,1.0,1,43.31,102.819,2.571
622,2,1,0.6284,1,89.508,202.069,4.017
623,2,1,0.94429,1,88.377,194.422,3.515
624,1,1,0.50222,0,65.585,118.283,2.13
625,3,1,0.92913,1,212.205,280.102,2.764
626,1,1,0.23106,0,81.365,124.905,0.757
627,3,1,1.0,1,32.135,97.047,0.426
628,3,1,1.0,1,21.943,102.059,3.362
629,1,1,0.3594,0,76.178,122.105,3.707
630,0,0,0.06304,0,114.067,327.497,3.771
631,2,1,0.68124,1,97.387,193.191,3.469
632,2,1,0.72527,1,96.673,197.906,1.858
633,2,1,0.55524,0,93.508,192.413,3.013
634,0,0,0.09443,0,112.918,269.527,3.247
635,3,1,1.0,1,185.649,247.747,2.176
636,2,1,0.96833,1,88.485,183.856,2.475
637,1,1,0.38662,0,76.069,121.286,2.048
638,1,1,0.43459,0,74.864,115.422,1.015
639,2,1,0.57013,0,78.536,191.81,1.647
640,3,1,1.0,1,187.022,264.49,1.361
